tensor(2.7473, grad_fn=<NllLoss2DBackward>)
tensor(3.0773, grad_fn=<NllLoss2DBackward>)
tensor(3.1939, grad_fn=<NllLoss2DBackward>)
tensor(3.1231, grad_fn=<NllLoss2DBackward>)
tensor(3.1904, grad_fn=<NllLoss2DBackward>)
tensor(2.8132, grad_fn=<NllLoss2DBackward>)
tensor(2.7927, grad_fn=<NllLoss2DBackward>)
tensor(2.9174, grad_fn=<NllLoss2DBackward>)
tensor(3.0290, grad_fn=<NllLoss2DBackward>)
tensor(2.9725, grad_fn=<NllLoss2DBackward>)
tensor(3.4058, grad_fn=<NllLoss2DBackward>)
tensor(3.4097, grad_fn=<NllLoss2DBackward>)
tensor(2.9298, grad_fn=<NllLoss2DBackward>)
tensor(2.4541, grad_fn=<NllLoss2DBackward>)
tensor(3.2063, grad_fn=<NllLoss2DBackward>)
tensor(3.7160, grad_fn=<NllLoss2DBackward>)
tensor(3.1652, grad_fn=<NllLoss2DBackward>)
tensor(3.6153, grad_fn=<NllLoss2DBackward>)
tensor(2.5940, grad_fn=<NllLoss2DBackward>)
tensor(2.3523, grad_fn=<NllLoss2DBackward>)
tensor(2.9006, grad_fn=<NllLoss2DBackward>)
tensor(2.9461, grad_fn=<NllLoss2DBackward>)
tensor(3.6014, grad_fn=<NllLoss2DBackward>)
tensor(3.0361, grad_fn=<NllLoss2DBackward>)
tensor(2.8443, grad_fn=<NllLoss2DBackward>)
tensor(2.7973, grad_fn=<NllLoss2DBackward>)
tensor(2.9036, grad_fn=<NllLoss2DBackward>)
tensor(3.0364, grad_fn=<NllLoss2DBackward>)
tensor(3.0766, grad_fn=<NllLoss2DBackward>)
tensor(3.0177, grad_fn=<NllLoss2DBackward>)
tensor(2.8826, grad_fn=<NllLoss2DBackward>)
tensor(3.3484, grad_fn=<NllLoss2DBackward>)
tensor(3.3675, grad_fn=<NllLoss2DBackward>)
tensor(3.7980, grad_fn=<NllLoss2DBackward>)
tensor(3.1715, grad_fn=<NllLoss2DBackward>)
tensor(2.7176, grad_fn=<NllLoss2DBackward>)
tensor(3.4178, grad_fn=<NllLoss2DBackward>)
tensor(3.0589, grad_fn=<NllLoss2DBackward>)
